Model/Epoch,Layer_1,Layer_2,Layer_3,Layer_4,Layer_5,Layer_6,Layer_7,Layer_8,Layer_9,Layer_10,Layer_11,Layer_12
checkpoint_epoch_30,2.4673946862766547,2.4277616421829804,2.508365141636676,2.6249024285606146,2.735492576226153,2.8959567437100224,3.0888299305670137,3.264279139067281,3.415355448826051,3.517609212434667,3.5483032036909057,3.7059382076264478
checkpoint_epoch_60,1.7321223067437377,1.6521265158022753,1.7274075940333158,1.8489142788226292,1.9624115368495194,2.1056528241275885,2.2973771556721125,2.512996017986289,2.709747694711229,2.8509346173208545,2.8733623288399435,3.1507243326420324
checkpoint_epoch_90,1.8588673651661907,1.7354258394106477,1.7836729693264604,1.9056197331162203,2.017815172929174,2.150467443869534,2.33905247176714,2.5435695969762344,2.764135256279295,2.9442583145558294,2.976790020653287,3.3182767386016336
checkpoint_epoch_120,1.556891278861275,1.391259233037647,1.4085752653310493,1.5405398683621554,1.6514069214897644,1.7749419620283273,1.9499709369837392,2.1499528132732286,2.3814372816601366,2.563594472441937,2.5976424097023254,2.987846226244845
checkpoint_epoch_150,1.7782945367408416,1.5804803891558796,1.5700529262465472,1.6865895386372027,1.783135782207369,1.9035360874005205,2.0789834756241667,2.286004194169038,2.531063321531036,2.716983807286042,2.753101625593802,3.1660134667843005
checkpoint_epoch_180,1.886415055463907,1.6570701299398292,1.6141392164686457,1.6853778757125433,1.752475009293423,1.8629507287280376,2.0283696712403807,2.2197827706721185,2.469874686728047,2.676996477023757,2.715968824480544,3.105343610224747
checkpoint_epoch_210,2.0753208850202447,1.7906834070184832,1.7109234474160882,1.780283201169436,1.8471616770385313,1.9558871498978458,2.1326157377767903,2.330025701584486,2.6117462286213855,2.8287314070522913,2.8751772628456407,3.2448149104276713
checkpoint_epoch_240,2.2571408023294435,1.9111670487258723,1.7852831764434531,1.827081294797349,1.8807907647697562,1.9955328068295795,2.167092297610228,2.3647382235321937,2.649900452966687,2.881930489088504,2.939135891552275,3.280696920929739
checkpoint_epoch_270,2.417337312235264,2.026158835055747,1.855398514199241,1.8542098185377363,1.8944441511970644,2.016013659931698,2.1977046544291334,2.40123006025709,2.7079820292212355,2.957255184931671,3.0229203478190647,3.3557894343079706
checkpoint_epoch_300,2.402390943884474,1.9849173200674508,1.7945417673512947,1.7751874536853642,1.8133835162819025,1.9409894235408134,2.131062364387735,2.3359303440121564,2.6484719809548416,2.9072338064738013,2.977063165601235,3.305119359565331
model_best,2.4269485612061774,2.008720904074856,1.815925765390779,1.80147666083283,1.8436740352702143,1.9726216011201623,2.1608980903982284,2.368718328844634,2.6809053288394717,2.9401762058098737,3.0093876804175035,3.335763908259362
